5.000000000000000000e+01,9.879999999999999893e-01
1.000000000000000000e+02,9.409999999999999476e-01
1.500000000000000000e+02,8.609999999999999876e-01
2.000000000000000000e+02,7.950000000000000400e-01
2.500000000000000000e+02,7.109999999999999654e-01
3.000000000000000000e+02,6.189999999999999947e-01
3.500000000000000000e+02,5.170000000000000151e-01
4.000000000000000000e+02,4.099999999999999756e-01
4.500000000000000000e+02,3.039999999999999925e-01
5.000000000000000000e+02,2.030000000000000138e-01
5.500000000000000000e+02,1.310000000000000053e-01
6.000000000000000000e+02,6.600000000000000311e-02
6.500000000000000000e+02,1.299999999999999940e-02
7.000000000000000000e+02,0.000000000000000000e+00
7.500000000000000000e+02,0.000000000000000000e+00
