1.000000000000000000e+00,5.325000000000000000e+02
2.000000000000000000e+00,4.800000000000000000e+02
3.000000000000000000e+00,4.349999999999999432e+02
4.000000000000000000e+00,3.900000000000000000e+02
5.000000000000000000e+00,3.525000000000000000e+02
6.000000000000000000e+00,3.225000000000000000e+02
7.000000000000000000e+00,3.000000000000000000e+02
8.000000000000000000e+00,2.850000000000000000e+02
9.000000000000000000e+00,2.475000000000000000e+02
1.000000000000000000e+01,2.475000000000000000e+02
1.100000000000000000e+01,2.174999999999999716e+02
1.200000000000000000e+01,2.025000000000000000e+02
1.300000000000000000e+01,1.950000000000000000e+02
1.400000000000000000e+01,1.800000000000000000e+02
1.500000000000000000e+01,1.650000000000000000e+02
