5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+02,9.843260188087774587e-01
1.500000000000000000e+02,7.429467084639498342e-01
2.000000000000000000e+02,6.175548589341692818e-01
2.500000000000000000e+02,4.545454545454545303e-01
3.000000000000000000e+02,3.385579937304075138e-01
3.500000000000000000e+02,2.570532915360501658e-01
4.000000000000000000e+02,1.880877742946708564e-01
4.500000000000000000e+02,1.097178683385579973e-01
5.000000000000000000e+02,3.761755485893417128e-02
5.500000000000000000e+02,0.000000000000000000e+00
6.000000000000000000e+02,0.000000000000000000e+00
6.500000000000000000e+02,0.000000000000000000e+00
7.000000000000000000e+02,0.000000000000000000e+00
7.500000000000000000e+02,0.000000000000000000e+00
